0.000000,0.070000,0.000000,-0.070000,-nan,-nan,0.000000,0.140000,0.070000,-nan,nan
0.000000,0.070000,0.000000,-0.070000,0.002196,0.000196,0.000000,0.140000,0.070000,0.000196,0.001401
0.000000,0.070000,0.000000,-0.070000,0.005871,-0.000295,0.000000,0.140000,0.070000,-0.000295,-0.002105
0.000000,0.070000,0.000000,-0.070000,0.007309,-0.000355,0.000000,0.140000,0.070000,-0.000355,-0.002535
0.000000,0.070000,0.000000,-0.070000,0.008118,-0.000407,0.000000,0.140000,0.070000,-0.000407,-0.002907
0.000000,0.070000,0.000000,-0.070000,0.008626,-0.000452,0.000000,0.140000,0.070000,-0.000452,-0.003225
0.000000,0.070000,0.000000,-0.070000,0.008908,-0.000539,0.000000,0.140000,0.070000,-0.000539,-0.003847
0.000000,0.070000,0.000000,-0.070000,0.009030,-0.000598,0.000000,0.140000,0.070000,-0.000598,-0.004271
0.000000,0.070000,0.000000,-0.070000,0.009127,-0.000698,0.000000,0.140000,0.070000,-0.000698,-0.004987
0.000000,0.070000,0.000000,-0.070000,0.009130,-0.000748,0.000000,0.140000,0.070000,-0.000748,-0.005346
0.000000,0.070000,0.000000,-0.070000,0.009113,-0.000762,0.000000,0.140000,0.070000,-0.000762,-0.005440
0.000000,0.070000,0.000000,-0.070000,0.009066,-0.000758,0.000000,0.140000,0.070000,-0.000758,-0.005417
0.000000,0.070000,0.000000,-0.070000,0.008978,-0.000829,0.000000,0.140000,0.070000,-0.000829,-0.005923
0.000000,0.070000,0.000000,-0.070000,0.008863,-0.000817,0.000000,0.140000,0.070000,-0.000817,-0.005837
0.000000,0.070000,0.000000,-0.070000,0.008706,-0.000876,0.000000,0.140000,0.070000,-0.000876,-0.006260
0.000000,0.070000,0.000000,-0.070000,0.008530,-0.000866,0.000000,0.140000,0.070000,-0.000866,-0.006184
0.000000,0.070000,0.000000,-0.070000,0.008320,-0.000923,0.000000,0.140000,0.070000,-0.000923,-0.006595
0.000000,0.070000,0.000000,-0.070000,0.008097,-0.000912,0.000000,0.140000,0.070000,-0.000912,-0.006512
0.000000,0.070000,0.000000,-0.070000,0.007849,-0.000969,0.000000,0.140000,0.070000,-0.000969,-0.006921
0.000000,0.070000,0.000000,-0.070000,0.007593,-0.000954,0.000000,0.140000,0.070000,-0.000954,-0.006811
0.000000,0.070000,0.000000,-0.070000,0.007319,-0.000973,0.000000,0.140000,0.070000,-0.000973,-0.006950
0.000000,0.070000,0.000000,-0.070000,0.007038,-0.001025,0.000000,0.140000,0.070000,-0.001025,-0.007318
0.000000,0.070000,0.000000,-0.070000,0.006745,-0.001053,0.000000,0.140000,0.070000,-0.001053,-0.007519
0.000000,0.070000,0.000000,-0.070000,0.006442,-0.001077,0.000000,0.140000,0.070000,-0.001077,-0.007692
0.000000,0.070000,0.000000,-0.070000,0.006131,-0.001099,0.000000,0.140000,0.070000,-0.001099,-0.007849
0.000000,0.070000,0.000000,-0.070000,0.005815,-0.001119,0.000000,0.140000,0.070000,-0.001119,-0.007993
